3	2
4	3
5	4
6	5
7	6
8	7
9	8
10	9
11	a
12	à
13	á
14	ạ
15	ả
16	ã
17	â
18	ầ
19	ấ
20	ậ
21	ẩ
22	ẫ
23	ă
24	ằ
25	ắ
26	ặ
27	ẳ
28	ẵ
29	b
30	c
31	d
32	đ
33	e
34	è
35	é
36	ẹ
37	ẻ
38	ẽ
39	ê
40	ề
41	ế
42	ệ
43	ể
44	ễ
45	f
46	g
47	h
48	i
49	ì
50	í
51	ị
52	ỉ
53	ĩ
54	j
55	k
56	l
57	m
58	n
59	o
60	ò
61	ó
62	ọ
63	ỏ
64	õ
65	ô
66	ồ
67	ố
68	ộ
69	ổ
70	ỗ
71	ơ
72	ờ
73	ớ
74	ợ
75	ở
76	ỡ
77	p
78	q
79	r
80	s
81	t
82	u
83	ù
84	ú
85	ụ
86	ủ
87	ũ
88	ư
89	ừ
90	ứ
91	ự
92	ử
93	ữ
94	v
95	w
96	x
97	y
98	ỳ
99	ý
100	ỵ
101	ỷ
102	ỹ
103	z
104	A
105	À
106	Á
107	Ạ
108	Ả
109	Ã
110	Â
111	Ầ
112	Ấ
113	Ậ
114	Ẩ
115	Ẫ
116	Ă
117	Ằ
118	Ắ
119	Ặ
120	Ẳ
121	Ẵ
122	B
123	C
124	D
125	Đ
126	E
127	È
128	É
129	Ẹ
130	Ẻ
131	Ẽ
132	Ê
133	Ề
134	Ế
135	Ệ
136	Ể
137	Ễ
138	F
139	G
140	H
141	I
142	Ì
143	Í
144	Ị
145	Ỉ
146	Ĩ
147	J
148	K
149	L
150	M
151	N
152	O
153	Ò
154	Ó
155	Ọ
156	Ỏ
157	Õ
158	Ô
159	Ồ
160	Ố
161	Ộ
162	Ổ
163	Ỗ
164	Ơ
165	Ờ
166	Ớ
167	Ợ
168	Ở
169	Ỡ
170	P
171	Q
172	R
173	S
174	T
175	U
176	Ù
177	Ú
178	Ụ
179	Ủ
180	Ũ
181	Ư
182	Ừ
183	Ứ
184	Ự
185	Ử
186	Ữ
187	V
188	W
189	X
190	Y
191	Ỳ
192	Ý
193	Ỵ
194	Ỷ
195	Ỹ
196	Z
197	-
198	'
199	.
200	!
201	?
202	,
203	\
204	/
205	Ɖ
206	Ð
